ASV inference stats: Number of 16S rRNA amplicon read pairs and filtering overview						
						
Sample ID	input read pairs	read pairs kept after filtering	Forward reads denoised	Reverse reads denoised	Merged reads	Non-chimeric ASVs
SKAU_R1_17	192594	160807	160145	160306	156505	120578
SKAU_R1_19	197186	170165	169308	169548	162037	127821
SKAU_R1_20	185199	156070	151933	153203	135987	113358
SKAU_R1_21	152122	128045	127130	127193	119852	70043
SKAU_R1_22	94440	79182	78629	78688	75084	63233
SKAU_R1_23	161066	127556	126999	127034	122558	91095
SKAU_R1_24	272382	232203	227342	228411	204267	153065
SKAU_R1_25	226045	197716	196557	196744	189058	156225
SKAU_R1_27	202505	175275	173857	173978	165188	121617
SKAU_R1_28	172667	142827	141972	141809	135792	97487
SKAU_R1_29	204855	176318	174953	174844	164286	113872
SKAU_R2_1	170194	140110	129108	133671	101724	77607
SKAU_R2_2	216313	185931	185360	185023	179642	141949
SKAU_R2_3	242602	203771	202554	202343	193928	127697
SKAU_R2_4	564156	477661	475016	475124	454724	326772
SKAU_R2_5	233751	197708	196633	196406	187659	130354
SKAU_R2_6	206015	162587	161174	161125	150035	97817
SKAU_R2_7	219580	193027	191636	191792	183355	141545
SKAU_R2_8	354155	301312	300577	300321	294497	221124
SKAU_R2_9	287945	251893	251445	251146	244687	194643
SKAU_R2_10	288488	251212	250007	249777	240757	184277
SKAU_R2_13	285608	248002	247289	247128	240462	196421
SKAU_R2_15	209902	172472	172053	171907	168904	144829
SKAU_R2_16	152036	128000	127147	127223	123138	94780
SKAU_R2_18	388	179	125	133	116	116
SKAU_R2_19	275095	213247	212742	212694	209346	141484
SKAU_R2_20	299445	236937	235791	236034	230632	169399
SKAU_R2_22	175819	148386	147810	147720	142100	102186
SKAU_R2_23	235498	190942	190242	190329	183181	144580
SKAU_R2_25	202704	172833	172182	172058	165688	120170
SKAU_R2_26	267247	227184	226466	226504	220919	175282
SKAU_R2_28	202845	173835	171298	171778	159762	126273
SKAU_R2_29	226791	190581	189925	189822	185044	143191
SKAU_R2_31	156678	131727	130718	130676	123361	76115
SKAU_R2_32	193595	169091	168208	167862	161626	115795
SKAU_R2_33	172478	150089	149089	149110	144004	118032
SKAU_R3_1	267773	228553	226394	226207	208579	140738
SKAU_R3_2	5146	212	153	146	46	46
SKAU_R3_4	220338	177062	176176	176312	171114	132216
SKAU_R3_7	222265	174050	172254	172369	160705	104977
SKAU_R3_11	252459	204954	202869	202920	190759	141431
SKAU_R3_32	240864	194323	192911	193090	184214	131042
SKAU_R3_33	210129	174184	172323	172318	161409	89730
